date,egg_farm,egg_retail
2011-06-01,22.002,29.208
2011-07-01,23.79,29.478
2011-08-01,24.791999999999998,29.502
2011-09-01,26.802,30.912
2011-10-01,26.436,31.854
2011-11-01,26.298,31.176
2011-12-01,29.37,33.108
2012-01-01,27.113999999999997,34.866
2012-02-01,28.674,34.944
2012-03-01,27.852,33.102
2012-04-01,26.802,31.644
2012-05-01,26.886,32.412
2012-06-01,26.202,31.913999999999998
2012-07-01,24.371999999999996,31.541999999999998
2012-08-01,29.663999999999998,34.098
2012-09-01,27.197999999999997,32.712
2012-10-01,27.791999999999998,32.964
2012-11-01,25.997999999999998,32.07
2012-12-01,28.758,33.21
2013-01-01,30.113999999999997,33.576
2013-02-01,27.389999999999997,33.552
2013-03-01,31.272,33.678
2013-04-01,30.599999999999998,32.79
2013-05-01,25.529999999999998,30.947999999999997
2013-06-01,22.464,30.221999999999998
2013-07-01,23.483999999999998,29.766
2013-08-01,24.21,31.241999999999997
2013-09-01,25.8,31.536
2013-10-01,23.244,31.031999999999996
2013-11-01,24.402,31.668
2013-12-01,26.244,31.656
2014-01-01,27.144000000000002,32.663999999999994
2014-02-01,26.928,32.922
2014-03-01,33.372,36.678
2014-04-01,29.897999999999996,37.368
2014-05-01,29.951999999999998,36.768
2014-06-01,29.4,37.145999999999994
2014-07-01,30.144,37.512
2014-08-01,31.728,39.654
2014-09-01,28.5,39.222
2014-10-01,31.433999999999997,39.077999999999996
2014-11-01,28.032,38.364
2014-12-01,29.82,37.602
2015-01-01,32.82,37.391999999999996
2015-02-01,28.787999999999997,38.064
2015-03-01,32.436,37.812
2015-04-01,29.502,37.32
2015-05-01,25.95,35.358
2015-06-01,21.881999999999998,32.046
2015-07-01,25.145999999999997,32.141999999999996
2015-08-01,28.434,34.536
2015-09-01,28.398,36.623999999999995
2015-10-01,27.371999999999996,36.036
2015-11-01,30.834,36.467999999999996
2015-12-01,30.534,36.431999999999995
2016-01-01,32.339999999999996,37.11
2016-02-01,29.531999999999996,39.318
2016-03-01,34.212,39.768
2016-04-01,31.302,40.68
2016-05-01,26.304000000000002,36.821999999999996
2016-06-01,24.402,34.578
2016-07-01,26.387999999999998,34.212
2016-08-01,26.82,35.076
2016-09-01,27.497999999999998,35.687999999999995
2016-10-01,27.371999999999996,36.102
2016-11-01,27.768,35.622
2016-12-01,23.37,34.763999999999996
2017-01-01,23.628,34.176
2017-02-01,22.962,33.852
2017-03-01,27.144000000000002,34.224
2017-04-01,27.0,33.42
2017-05-01,23.514,31.223999999999997
2017-06-01,21.768,30.798
2017-07-01,19.776,30.144
2017-08-01,24.179999999999996,31.5
2017-09-01,20.352,30.156
2017-10-01,22.272,30.0
2017-11-01,21.863999999999997,30.078
2017-12-01,21.287999999999997,29.741999999999997
2018-01-01,27.21,31.32
2018-02-01,23.178,31.134
2018-03-01,23.148,30.654
2018-04-01,25.836000000000002,29.97
2018-05-01,27.791999999999998,30.197999999999997
2018-06-01,26.598,29.67
2018-07-01,28.404,30.929999999999996
2018-08-01,31.049999999999997,33.6
2018-09-01,33.234,36.402
2018-10-01,33.498,39.132
2018-11-01,33.498,39.263999999999996
2018-12-01,33.498,38.598
2019-01-01,34.757999999999996,42.036
2019-02-01,34.355999999999995,41.802
2019-03-01,35.922,41.91
2019-04-01,30.468,38.087999999999994
2019-05-01,26.502,36.12
2019-06-01,23.363999999999997,30.978
2019-07-01,22.434,29.921999999999997
2019-08-01,27.113999999999997,29.933999999999997
2019-09-01,27.3,30.402
2019-10-01,25.308,30.665999999999997
2019-11-01,27.702,31.11
2019-12-01,28.145999999999997,31.2
2020-01-01,23.532,30.336
2020-02-01,25.776,29.868
2020-03-01,29.304000000000002,33.257999999999996
2020-04-01,29.502,34.866
2020-05-01,26.952,34.565999999999995
2020-06-01,24.497999999999998,33.336
2020-07-01,23.081999999999997,33.431999999999995
2020-08-01,27.078,33.618
2020-09-01,28.068,33.534
2020-10-01,24.63,33.168
2020-11-01,26.232,33.366
2020-12-01,26.304000000000002,34.355999999999995
2021-01-01,27.402,35.022
2021-02-01,25.715999999999998,34.902
2021-03-01,30.887999999999998,35.346
2021-04-01,31.763999999999996,34.788
2021-05-01,28.014,34.902
2021-06-01,26.802,34.104
2021-07-01,24.276,30.624
2021-08-01,25.308,31.344
2021-09-01,26.166,31.889999999999997
2021-10-01,23.982,31.997999999999998
2021-11-01,29.298,33.263999999999996
2021-12-01,33.144,41.97
2022-01-01,33.984,45.791999999999994
2022-02-01,34.926,48.93
2022-03-01,37.404,49.02
2022-04-01,39.234,50.052
2022-05-01,40.5,51.366
2022-06-01,40.5,50.886
2022-07-01,41.274,51.047999999999995
2022-08-01,42.498,51.74399999999999
2022-09-01,42.498,52.51199999999999
2022-10-01,40.69199999999999,52.698
2022-11-01,40.5,52.524
2022-12-01,40.5,52.62
2023-01-01,40.5,52.782
2023-02-01,41.502,54.222
2023-03-01,44.82,59.232
2023-04-01,45.498,58.51199999999999
2023-05-01,45.498,55.559999999999995
2023-06-01,42.966,53.952
2023-07-01,40.5,51.977999999999994
2023-08-01,40.5,50.502
2023-09-01,43.266,53.742
2023-10-01,44.886,53.982
2023-11-01,38.897999999999996,49.361999999999995
2023-12-01,38.502,48.678
2024-01-01,39.077999999999996,48.797999999999995
2024-02-01,38.67,49.175999999999995
2024-03-01,37.368,48.756
2024-04-01,38.897999999999996,49.614
2024-05-01,34.434,47.508
2024-06-01,28.302,46.446
2024-07-01,26.37,45.275999999999996
2024-08-01,31.5,46.565999999999995
2024-09-01,27.3,45.504
2024-10-01,23.045999999999996,42.27
2024-11-01,26.166,42.18
2024-12-01,24.563999999999997,41.04
2025-01-01,21.078,39.876
2025-02-01,22.386,39.42
2025-03-01,29.562,40.577999999999996
2025-04-01,30.701999999999998,43.104
2025-05-01,24.497999999999998,41.418
2025-06-01,24.497999999999998,40.85999999999999
2025-07-01,26.208,42.492
2025-08-01,33.275999999999996,45.804
2025-09-01,31.331999999999997,45.318
2025-10-01,28.787999999999997,44.532
2025-11-01,33.431999999999995,44.412
2025-12-01,30.954,43.181999999999995
2026-01-01,32.339999999999996,44.064
2026-02-01,33.252,44.502
2026-03-01,30.918,43.242
2026-04-01,32.1,44.412
